title,url,publish_time,publisher_name,scraper,db_id,body_text
Путин подписал закон о легализации майнинга криптовалют,https://www.wam.ae/ru/article/1424h5x-%D0%BF%D1%83%D1%82%D0%B8%D0%BD-%D0%BF%D0%BE%D0%B4%D0%BF%D0%B8%D1%81%D0%B0%D0%BB-%D0%B7%D0%B0%D0%BA%D0%BE%D0%BD-%D0%BB%D0%B5%D0%B3%D0%B0%D0%BB%D0%B8%D0%B7%D0%B0%D1%86%D0%B8%D0%B8-%D0%BC%D0%B0%D0%B9%D0%BD%D0%B8%D0%BD%D0%B3%D0%B0,2024-08-10 21:56:03.633731,Emirates News Agency,google,,
Мосбиржа получила «мягкое согласие» платформ по выпуску ЦФА на интеграцию,https://riamo.ru/news/ekonomika/mosbirzha-poluchila-mjagkoe-soglasie-platform-po-vypusku-tsfa-na-integratsiju/,2024-08-10 21:56:24.632941,РИАМО,google,,"Мосбиржа получила «мягкое согласие» всех платформ по выпуску цифровых финансовых активов (ЦФА) на интеграцию с ней как с оператором обмена для создания вторичного рынка таких активов, сообщает Forbes .

Как пишут «Ведомости» со ссылкой на директора торговой площадки по цифровым активам Сергея Харинова, биржа работает над построением оператора обмена, консолидирующим ликвидность ЦФА, он будет единой точкой входа за их дистрибуцией.

Харинов отметил, что объединения рынка ЦФА на базе оператора обмена являются «очень хорошей практикой», так как подобный сценарий развития рынка расширит возможности каждой отдельной платформы по выпуску.

По его словам, проделанная работа в итоге приведет к повышению оборотов на рынке. Также инвесторы смогут видеть и анализировать свой портфель ЦФА, при этом специалистам не нужно будет сводить числа из приложений разных платформ.

Эксперт считает, что создание оператора обмена это ускорит приток новых участников на рынок ЦФА и сильно облегчит клиентский путь."
Ведомости: платформы по выпуску ЦФА согласны на интеграцию с Мосбиржей,https://bcs-express.ru/novosti-i-analitika/vedomosti-platformy-po-vypusku-tsfa-soglasny-na-integratsiiu-s-mosbirzhei,2024-08-10 21:56:12.682623,BCS-Express,google,,
"Центробанк решил обходить санкции через внедрение криптоплатежей во внешнюю 
торговлю",https://smart-lab.ru/blog/1052937.php,2024-08-26 21:55:19.375969,sMart-lab.ru,google,,"Захожу тут на сайт Центробанка, чтобы глянуть почём нынче бакс, и не припала ли инфляция ниже нужного уровня. А тут ба-бах — зам Эльвиры Набиуллиной рассказывает, что доллар для россиян вообще не актуален можно рассчитываться криптой. Правда, пока только через ограниченное число площадок.

 

 

 Статс-секретарь — зампредседателя Банка России Алексей Гузновначал разговор, правда, про цифровые финансовые активы, но от них недолго было шагнуть к стейблкоинам. А уж вступив на путь поддержки криптовалюты, ЦБ, судя по всему, планирует и из-под санкций выскальзывать как ни в чём ни бывало. 

 

 — В прошедшую сессию были приняты изменения в закон о ЦФА, — рассказал Гузнов. — Он разрешил использовать их для трансграничных расчетов. Однако требовалась доработка с точки зрения дизайна системы — как можно использовать ЦФА, выпущенные в иностранной системе, как именно иностранная инфраструктура будет взаимодействовать с российской для таких сделок, как это пространство будет защищено от доступа третьих лиц. Эти вопросы были решены в ином законе, принятом под конец сессии. В нем также урегулированы отношения, связанные с майнингом. Причем по линии регулирования цифровых активов может пройти и использование стейблкоинов для трансграничных платежей, потому что некоторые из них подпадают под определение ЦФА.

— То есть для стейблкоинов не потребуется дополнительного регулирования? — интересуются «Известия».

— Если у конкретного стейблкоина есть обязанное лицо, и он по своей сути схож с ЦФА, то его уже сейчас по закону можно использовать для международных расчетов. Однако если за ним не стоит обязанное лицо и стейблкоин рассчитывается по какому-то алгоритму, то он скорее схож с цифровыми валютами. Для использования их в трансграничных расчетах потребуется вводить экспериментальный режим.

— В конце сессии был принят закон о майнинге криптовалют и закон, который допускает их применение в трансграничных расчетах в экспериментально-правовом режиме (ЭПР) через уполномоченные организации. Сейчас стоит задача скорейшего принятия программы ЭПР и других подзаконных актов. В эксперименте сделки с цифровыми валютами будут проходить через установленные площадки, и это касается только трансграничных расчетов. Сейчас обсуждается возможность допустить ограниченный круг особо квалифицированных инвесторов (сейчас такого понятия нет в законодательстве) к торгам цифровыми валютами, чтобы они смогли покупать и продавать такие активы, но это тема следующего этапа.

При этом нужно проанализировать все возможные риски. Например, возникает опасность наложения рестрикций на институты, которые будут проводить операции в криптовалютах с российским бизнесом. Не говоря уже о рисках, связанных с финансовой стабильностью, с влиянием на денежно-кредитную политику.

Подводя итог, сейчас стоит запустить эксперимент по использованию цифровых валют для внешней торговли. А затем уже можно рассмотреть универсальные подходы по обращению криптовалют. Но для начала стоит выяснить, какие тут могут возникнуть риски и как подготовиться к их управлению."
Etalon Group планирует продолжить использовать инструмент ЦФА,https://www.interfax.ru/business/978683,2024-08-29 21:55:18.738089,Интерфакс,google,,"Москва. 29 августа. INTERFAX.RU - Девелопер Etalon Group планирует продолжить использовать в своей деятельности инструмент цифровых финансовых активов (ЦФА), сообщил в интервью ""Интерфаксу"" CFO группы Илья Косолапов.

Ранее Etalon Group разместила два дебютных выпуска ЦФА на общую сумму 1,5 млрд рублей на платформе Альфа-банка.

""Эмитент продал их в полном объеме. Опыт показал, что инструмент вполне рабочий, планируем и дальше им пользоваться"", - сказал Косолапов.

ЦФА - цифровые аналоги ценных бумаг, которые выпускаются в виде записей в информационной системе на основе распределенного реестра (токенов) и подтверждают права инвестора на актив.

При этом Косолапов отметил, что вопрос размещения новых выпусков биржевых облигаций зависит от долговой нагрузки компании.

""Сейчас облигации безумно дорогие. А имеющаяся долговая нагрузка не позволяет нам продолжать так же активно ее наращивать. В то же время, верю, что рынок не должен о тебе забывать. Целесообразность выпуска облигаций для группы зависит от потребности в приобретении новых площадок под строительство"", - объяснил он.

В настоящее время в обращении находятся два выпуска облигаций АО ""Эталон-Финанс"" (входит в Etalon Group) на 20 млрд рублей.

Etalon Group фокусируется на жилой недвижимости для среднего класса. Согласно консолидированной финансовой отчетности группы за 2023 год, крупнейшим акционером Etalon Group на конец прошлого года являлась АФК ""Система"". Mubadala Investment Company принадлежало 6,3%, Kopernik Global Investors - 5%, Prosperity Capital - 4,1%. Еще 0,6% владел менеджмент Etalon Group, free float - 35,2%."
ГК «Основа» и Альфа-Банк привлекли 500 млн рублей инвестиций за 4 дня,https://news.ru/business/gk-osnova-i-alfa-bank-privlekli-500-mln-rublej-investicij-za-4-dnya/,2024-08-10 21:56:39.515906,NEWS.ru,google,,"«Минимальная сумма инвестиций составляла 1000 руб., именно столько стоил 1 ЦФА «Термолэнд». Без статуса «квалифицированного инвестора» можно было приобрести ЦФА на сумму до 600 тыс. рублей. При наличии такого статуса сумма заявки могла быть выше указанной суммы. В итоге за несколько дней мы привлекли 500 млн рублей от 3804 инвесторов», — заявил Храмов.

На сегодняшний день в рамках федеральной сети «Термолэнд» открыто 6 комплексов общей площадью более 35 тыс. кв. м, и все они располагаются в Москве. Средняя ежедневная загрузка всех 6 комплексов составляет 6-12 тыс. посетителей с пиковой посещаемостью в выходные и праздничные дни.

За первые 7 месяцев 2024 года выручка «Термолэнд» впервые превысила 1 млрд рублей. Это выручка от 4 комплексов, еще 2 были открыты во второй половине июля. До конца 2024 года ГК «Основа» планирует открыть удвоить количество действующих комплексов и довести их число до 12. При этом новые 6 комплексов «Термолэнд» площадью более 60 тыс. кв. метров в настоящий момент находятся либо на завершающей стадии отделки, либо в активной фазе строительства."
НАУФОР предложила регулировать рынок ЦФА как традиционный,https://www.finmarket.ru/main/article/6229920,2024-08-17 21:55:43.328423,Финмаркет,google,,
НАУФОР предложила регулировать рынок ЦФА как традиционный,https://www.vedomosti.ru/investments/articles/2024/08/13/1055368-naufor-predlozhila-regulirovat-rinok-tsfa-kak-traditsionnii,2024-08-17 21:55:43.848299,Ведомости,google,,"Центробанк мог бы применять в регулировании рынка цифровых финансовых активов (ЦФА) те же подходы, что и к традиционным инструментам, считает ассоциация профучастников НАУФОР. Объединение предлагает по аналогии с классическим фондовым рынком распространить на ЦФА такой же контроль за предложением активов инвесторам (правила раскрытия информации, уведомление о рисках, тестирование и др.), за операционной и финансовой стабильностью организаций, оказывающих подобные услуги, за использованием инсайдерской информации и др. Стейблкойны в НАУФОР также расценивают как вид ЦФА, аналогичный по своей экономической сущности структурным облигациям, отметили там. Свою позицию ассоциация направила в ЦБ, говорится в ее сообщении."
Как ЦФА изменит рынок недвижимости,https://bosfera.ru/press-release/kak-cfa-izmenit-rynok-nedvizhimosti,2024-08-17 21:55:43.150867,Банковское обозрение,google,,"Развитие рынка ЦФА на недвижимость открывает новые возможности для застройщиков и инвесторов. Несмотря на ограничения законодательства, застройщики начали выпускать ЦФА на квадратные метры, арендный доход и индексы, привязанные к стоимости квадратного метра. «Б.О» при участии «ЦФА Центр» проведет первую конференцию о применении ЦФА в недвижимости.
• Кейс-стади успешных выпусков от группы «Самолет», «ДЖИ ГРУПП», СберБанка и других эмитентов.
• Как объединить роль банка и ОИС — есть ли выгода для рынка.

Конференция «ЦИФРОВЫЕ ФИНАНСОВЫЕ АКТИВЫ В СТРОИТЕЛЬСТВЕ И НЕДВИЖИМОСТИ: Новые возможности для девелоперов и инвесторов» станет четвертым мероприятием по тематике ЦФА «Банковского обозрения» и состоится 30 октября 2024 года в Москве.
• Генеральных и финансовых директоров, казначеев, бухгалтеров и юристов корпоративного сегмента в сфере строительства и управления девелопментом.

Приобретайте участие в мероприятии со скидкой до 1 сентября 2024 года!"
"Мосбиржа получила согласие всех 11 отечественных платформ по выпуску ЦФА на 
интеграцию с ней как оператором обмена для создания вторичного рынка ЦФА – 
Ведомости",https://smart-lab.ru/blog/news/1046267.php,2024-08-10 21:56:25.292903,sMart-lab.ru,google,,"Мосбиржа получила согласие всех 11 отечественных платформ по выпуску ЦФА на интеграцию с ней как оператором обмена для создания вторичного рынка ЦФА – Ведомости

Московская биржа активно расширяет свое присутствие на рынке цифровых финансовых активов (ЦФА). Площадка получила «мягкое согласие» всех отечественных платформ по выпуску ЦФА на интеграцию с ней как оператором обмена для создания вторичного рынка ЦФА, сообщил директор Мосбиржи по цифровым активам Сергей Харинов.

На данный момент в реестре операторов обмена ЦФА зарегистрированы Мосбиржа и «СПБ биржа». В то же время 11 платформ могут выпускать цифровые активы, включая крупные банки, такие как Сбербанк и Альфа-банк, и специализированные платформы, такие как «Атомайз» и «Мастерчейн».



 

 

 Мосбиржа считает консолидацию рынка ЦФА через оператора обмена полезной практикой, поскольку это расширит возможности каждой отдельной платформы. В рабочей группе при ассоциации «Финтех» рассматриваются пилотные взаимодействия между Мосбиржей и различными платформами. Пилотные сделки планируются на этот год.

Оператор обмена ЦФА будет выполнять функции по обеспечению сделок, расчетам и взаимодействию с инвесторами, а также мог бы стать единой «полкой» с выпусками разных платформ, что упростит маркетинг и дистрибуцию. Агрегация сделок на базе оператора обмена и обширная база инвесторов приведут к росту оборотов на рынке."
