,title,url,publish_time,publisher_name,scraper,db_id,body_text
0,Атомайз разместил новые ЦФА от BitRiver с доходностью 18% годовых,https://1prime.ru/20240520/tsfa-848342953.html?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-05-20 18:39:00,ПРАЙМ,dzen,,
1,15 лучших российских банков для миллионеров — 2024. Рейтинг Forbes,https://www.forbes.ru/rating/519081-15-lucsih-rossijskih-bankov-dla-millionerov-2024-rejting-forbes?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-08-29 00:00:00,Forbes,dzen,,"Forbes в восьмой раз публикует рейтинг лучших российских банков для миллионеров. Это банки, работающие с самой верхней категорией состоятельных клиентов, в сегменте private-банкинга. В этом году в итоговой рейтинговой таблице два явных лидера, которые оторвались от других участников, — ВТБ и «Сбер». Их подразделения, работающие с миллионерами, почти по всем показателям идут вплотную друг к другу, что и объясняет минимальный — менее одного балла — отрыв первого места, которое в итоге осталось за ВТБ.

2024-й стал годом, когда на российском финансовым рынке в целом и в сегменте private banking в частности появились признаки стабилизации. Релокация капиталов — как из-за рубежа, так и в обратном направлении — в значительной части завершена, констатируют собеседники Forbes. По оценке руководителя private-подразделения крупного российского банка, за рубежом остается около 10-20% от суммарной величины перемещенных в российский периметр активов.

Что касается перемещений капитала из России, то, по словам управляющего директора Sber Private Banking Андрея Шенка, с 2022 года незначительная часть клиентов сменила юрисдикцию жизненных интересов и распродала активы в России, а подавляющее большинство «реструктуризировали свой портфель активов и адаптировали или продолжают адаптировать с учетом меняющегося ландшафта свои основные бизнесы к новым внешним факторам». Пока состоятельные россияне сохраняют интерес к открытию счетов в «дружественных» юрисдикциях, но риски вторичных санкций и реакция на эти риски зарубежных банков и брокеров может привести ко второй волне миграции активов. «Сейчас некоторые клиенты вновь задумались о возвращении какой-то части капиталов в Россию. Полагаю, эта тенденция будет усиливаться», — считает директор направления частного банковского обслуживания банка «Дом.РФ» Александр Икрянников.

У состоятельных клиентов есть и другой стимул оставаться в российском периметре — на фоне высокой ключевой ставки, которая недавно выросла до 18%, сберегательные продукты приносят им небывалую доходность. По классическим депозитам с фиксированной ставкой доходности в сегменте private достигли 20% и даже стали превышать ее. Однако самые привлекательные ставки банки дают новым клиентам или на новые деньги, предупреждает еще один собеседник Forbes из крупного банка. Кроме того, ряд банков запустили депозиты с плавающей процентной ставкой, доходность которых привязана к ключевой. «Исторически доля инвестиций в портфелях наших клиентов сегмента private составляла более 60%. Сейчас на фоне высоких ставок и перетока средств в депозиты эта доля снизилась примерно до 55% в зависимости от риск-профиля клиентов», — подтверждает управляющий директор, глава Sovcombank Wealth Management Екатерина Серединская.

Доли инструментов в сформировавшихся портфелях клиенты, как правило, резко не меняют, но вновь заработанные средства они в последние два месяца предпочитают направлять именно в сберегательные продукты, говорит директор по развитию премиальных инвестиционных сервисов Т-Банка Дилшод Ибрагимов. На фондовом рынке основное внимание — к облигациям с плавающей доходностью, фондам денежного рынка, размещениям российских компаний, продолжает он. «Наши клиенты интересуются новыми IPO, на некоторые эмиссии был очень сильный спрос, и в перспективе он сохранится», — соглашается собеседник Forbes из крупного банка.

В то же время спрос на фаворитов прошлого года — замещающие облигации — напротив, немного снизился. «В России рынок квазивалютных инструментов пока не предоставляет инвестиционных возможностей, сравнимых даже с российским рынком еврооблигаций и депозитарных расписок в прошлом», — признает Андрей Шенк.

На фоне высоких ставок в валютной структуре портфелей клиентов private-подразделений безраздельно доминирует рубль. Например, у Совкомбанка его доля составляет более 90%, на доллар и юань приходится не более 5% и 3% соответственно, говорит Екатерина Серединская. Еще два банкира оценили долю рубля в портфелях private banking в 70-80%.

Эта картина кардинально отличается от той, что наблюдалась в 2020-2021 годах, вспоминает руководитель private-подразделения крупного банка. Тогда не менее 80% инвестиций и торгового оборота были номинированы в твердых валютах. Преимущественно это были доллары и евро, но заметным был вес британского фунта и швейцарского франка. Сейчас доллар и евро сильно сократили свои позиции, а доля юаня в портфелях увеличивается медленно. «Учитывая неопределенность с российским рынком юаней, а также недостаточную инвестиционную привлекательность номинированных в юанях облигационных выпусков, обращающихся на российском рынке, сложно прогнозировать рост интереса к данной валюте со стороны клиентов private. Какая-то их часть перевела свои сбережения в юани с целью валютной диверсификации, какая-то часть использует возможности carry trade, однако полностью взять на себя роль иностранных валют юань пока не может», — признает собеседник Forbes из крупного банка.

Однако свой бизнес состоятельные клиенты вынуждены разворачивать на восток. Растут потребности в получении финансирования в юанях, в открытии кредитных линий и организации переводов и платежей, рассказывает Андрей Шенк. «Часто это связано с переориентацией бизнеса наших клиентов. Кроме того, в рамках нефинансовых сервисов, предоставляемых в рамках семейного офиса Sber Private Banking, мы видим, что клиенты действительно и переводят компании туда, и счета открывают, и налаживают отношения с восточными партнерами, запрашивают услуги по переезду из «недружественных» юрисдикций», — говорит он.

Интерес к вложениям в физические активы, характерный для неспокойных времен, сейчас стабилизировался.Спрос на физическое золото в слитках и инвестиционные монеты сейчас не растет, но и не падает, так как его ценообразование коррелирует с долларом, в своих портфелях клиенты держат его долю стабильной — 10-20%, говорит собеседник в крупном банке. А вот инвестиционные бриллианты так и не стали массовой историей в private banking. «Бриллианты, в отличие от золота, трудно стандартизировать, инфраструктуры для вторичной продажи драгоценных камней в стране пока нет. Часто их покупают разово и ситуативно — для членов семей», — говорит Александр Икрянников.

Недвижимость как сфера вложений остается привлекательной, банкиры готовы структурировать свои активы, особенно в коммерческой недвижимости, в ЗПИФы или в цифровые финансовые активы (ЦФА). Последние становятся все более интересной опцией для private banking. «Это удобная, быстрая и относительно недорогая механика, которая позволяет банку структурировать любой актив — от депозитов и золота до облигаций и прав требования», — объясняет собеседник Forbes. ЦФА активно выпускают многие игроки этого рынка: Альфа-банк, ПСБ, Сбербанк. Пилотный выпуск ЦФА готовит Совкомбанк. Банк «Дом.РФ» изучает вопрос выпуска различных ЦФА для своих клиентов, в том числе цифровых депозитов и ценных бумаг.

Еще один тренд в private banking — структурирование владения активами для целей наследования, говорят собеседники Forbes. По словам Андрея Шенка, изменения, которые произошли в законодательстве в 2023-2024 годах, позволили использовать механизм личных фондов, особенно в комбинации с ЗПИФами, для планирования наследования и дали возможность применять привычные для состоятельных россиян механики иностранных трастов.

Мы оценивали российские банки, которые предлагают состоятельным клиентам услуги в сегменте private. Итоговый балл на 60% зависит от показателей private-банков (объема клиентских активов, числа клиентов с активами от $1 млн, ставок по рублевым и юаневым депозитам, числа доступных для открытия вклада валют, рейтинга банка от российских рейтинговых агентств). Еще на 30% итог зависит от оценки от аналитиков компании Frank RG, которые ежегодно проводят исследования сегмента private-бэнкинга, и на 10% — от числа голосов, поданных участниками рынка за того или иного участника рейтинга."
2,В МТС допустили появление ЦФА на медиаконтент,https://www.vedomosti.ru/investments/news/2024/07/05/1048272-dopustili-poyavlenie-tsfa-na-mediakontent?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-07-05 14:12:00,Ведомости,dzen,,"МТС может запустить цифровые финансовые активы (ЦФА) на медиаконтент для своей платформы. Такое заявление сделал директор департамента корпоративных финансов и казначейства МТС Александр Смирнов на Финансовом конгрессе Банка России, пишет ТАСС.

У инвесторов может быть интерес к таким адресным инвестициям, пояснил он. Кроме того, в ЦФА может быть секъюритизирована дебиторская задолженность в рамках действующих хозяйственных договоров МТС, в том числе межоператорских контрактов и расчетов. С помощью цифровых активов ее будут продавать инвестору как аналог долгового инструмента, рассказал Смирнов.

Вероятность появления ЦФА на медиаконтент видит и зампред Банка России Филипп Габуния. Решение о создании такого продукта остается за компаниями, и успех его продаж будет зависеть от реакции аудитории – инвесторы либо проголосуют за проект своими инвестициями, либо проигнорируют его, заявил он в кулуарах форума. При этом Габуния отметил, что пока не слышал о регистрируемом выпуске ЦФА.

Многие участники внешнеэкономической деятельности (ВЭД) начали использовать ЦФА в международных расчетах – в их числе и профессиональные участники финансового рынка, и компании, заявлял ранее на Финконгрессе первый зампред ЦБ Владимир Чистюхин. При этом регулятор надеется, что после внесения необходимых поправок в законодательство часть трансграничных расчетов будет переведена и в криптовалюты, добавил он.

В июне венчурный фонд «Восход» на платформе «Атомайз» открыл книгу заявок для выпуска первых в России венчурных цифровых финансовых активов (ЦФА), писали «Ведомости». Управляющие планируют выпустить токены на 260 млн руб., направив привлеченные средства на покупку доли в фудтех-стартапе Qummy. Бизнес-идея заключается в том, чтобы дать инвесторам инструмент инвестирования в венчурные компании вместе с профессиональным лид-инвестором – фондом, объяснил управляющий партнер фонда Руслан Саркисов."
3,Спецдепозитарий «Инфинитум» стал первым номинальным держателем ЦФА,https://www.vedomosti.ru/investments/articles/2024/03/19/1026487-spetsdepozitarii-infinitum-stal-pervim-nominalnim-derzhatelem-tsfa?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-03-19 01:50:00,Ведомости,dzen,,"Номинальный держатель после передач активов может совершать операции с ЦФА и распоряжаться полученными в результате таких операций денежными средствами по поручению их обладателя (в данном случае УК «ПИИ»), объяснил генеральный директор «ЦФА хаб» Игорь Кузьмичев. Таким образом, передача активов дает возможность обладателю больше не заниматься операциями самостоятельно, а давать распоряжения номинальному держателю – например, на покупку и продажу актива или на получение купонного дохода."
4,ПСБ провел выпуск ЦФА для клиентов — юридических лиц,https://volga.news/article/716682.html?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-07-29 13:05:00,Волга Ньюс,dzen,,"ПСБ на своей платформе Токеон разместил первые цифровые финансовые активы для юридических лиц — клиентов блока малого и среднего бизнеса банка общим объемом более 1 млрд рублей.

Эмитированные ЦФА удостоверяют право инвестора на денежное требование к ПСБ в конце срока их обращения, который составляет 32 дня, при этом номинальная стоимость одного актива составляет 1 000 000 рублей. Согласно условиям, при погашении ЦФА инвесторы получат гарантированный доход в размере 17,6% годовых к 100% вложенных средств.

""Выпущенные ЦФА ориентированы на потребности малого и среднего бизнеса. Они предоставляют клиентам ПСБ возможность оценить преимущества инновационного для финансового рынка продукта и получить повышенный по сравнению с традиционными инструментами, такими как депозиты или облигации, доход"", — сказал Кирилл Тихонов, старший вице-президент, заместитель руководителя блока среднего и малого бизнеса ПСБ.

""Этот выпуск расширяет базу инвесторов в ЦФА, размещаемые ПСБ. Предыдущие выпуски цифровых долговых обязательств банка были ориентированы на клиентов Private Banking. Юридические лица из сегмента МСБ также оценят привлекательную доходность и удобство нового финансового инструмента для размещения временно свободных средств"", — отметил Петр Казакевич, руководитель блока финансовых рынков ПСБ.

""На платформе Токеон успешно состоялся уже пятый выпуск ЦФА от ПСБ, но впервые он ориентирован на юридических лиц. Этот выпуск позволит малому и среднему бизнесу познакомиться с ЦФА как инструментом инвестирования, оценить его удобства и преимущества. Мы надеемся, что для многих компаний это станет стимулом использовать цифровые активы в будущем не только для размещения свободных средств, но и для привлечения финансирования"", — говорит Максим Хрусталев, генеральный директор платформы Токеон."
5,«Дочка» Норникеля выпустила ЦФА на корзину металлов,https://www.interfax.ru/business/950466?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-03-14 17:34:00,Интерфакс,dzen,,"Москва. 14 марта. INTERFAX.RU - ""ДжиПиЭф Инвестментс"", ""дочка"" ""Норникеля"" по цифровизации металлов, провела на блокчейн-платформе ""Атомайз"" выпуск цифровых финансовых активов (ЦФА) на корзину пяти металлов: золото, палладий, платину, медь и никель, сообщил ""Норникель"".

Объем выпуска новых ЦФА - 11 млн рублей, а срок обращения - один год. Выпуск предусматривает два периода досрочного погашения, благодаря чему инвестор сможет зафиксировать прибыль, когда цена на металлы наиболее привлекательна.

Стоимость каждого нового ЦФА определяется исходя из вечерней цены LBMA и LME на единицу массы соответствующего металла. Цена пересчитывается в рубли по официальному курсу Банка России. Для исполнения своих обязательств ""ДжиПиЭф Инвестментс"" приобретает нужное количество драгметаллов при выпуске финансового инструмента.

Благодаря набору сырьевых товаров для разных отраслей экономики инвесторы получают комфортное сочетание риска и доходности в виде готового диверсифицированного портфеля, говорится в пресс-релизе.

""Новые ЦФА - это первая токенизированная корзина из инвестиционно привлекательных драгоценных и промышленных металлов. Такая диверсификация помогает защититься от краткосрочных изменений цен на конкретные металлы"", - заявил генеральный директор ""Атомайз"" Алексей Илясов.

ООО ""Атомайз"" - платформа для создания и обращения ЦФА, была создана в России в 2020 году. В разработке задействован протокол Hyperledger, одним из создателей которого является IBM. В 2022 году ""Атомайз"" получила регистрацию в качестве оператора цифровых финансовых активов. В числе инвесторов ""Атомайз"" - ""Интеррос"" Владимира Потанина.

""Норникель"", крупным акционером которого является ""Интеррос"", в начале 2022 года объявил о планах предложить инвесторам из России на площадке ""Атомайз"" цифровые продукты, обеспеченные выпускаемыми металлами. С 2020 года такие токены, обеспеченные металлами ""Норникеля"", выпускались для промышленных клиентов и инвесторов на нескольких европейских биржах."
6,Совкомбанк разместил первый выпуск ЦФА на СПБ Бирже на 405 млн рублей,https://www.forbes.ru/investicii/519572-sovkombank-razmestil-pervyj-vypusk-cfa-na-spb-birze-na-405-mln-rublej?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-08-21 16:23:00,Forbes,dzen,,"Размещенные ЦФА — цифровой аналог краткосрочных облигаций, они представляют собой право на денежное требование с фиксированным процентным доходом — 20% годовых. Объем эмиссии составил 405 000 ЦФА номиналом 1000 рублей на общую сумму 405 млн рублей. ЦФА выпущены на шесть месяцев.

Особенность размещения ЦФА Совкомбанка в том, что его клиенты приобрели активы путем подачи поручения своему депозитарию без необходимости становиться прямым пользователем информационной системы СПБ Биржи, отмечает торговая площадка. Весь объем размещенных ЦФА был выкуплен в тот же день, указывает СПБ Биржа.

Акции Совкомбанка на Мосбирже на 15:59 мск торговались по 14 рублей (-0,96%).

Банк России включил СПБ Биржу в реестр операторов обмена цифровых финансовых активов в марте. Первый выпуск цифровых прав в системе СПБ Биржи состоялся 30 января, эмитентом стала компания «Карбон Зиро», Совкомбанк был покупателем."
7,Компания ФСК снова привлекла финансирование через ЦФА,https://bosfera.ru/press-release/kompaniya-fsk-snova-privlekla-finansirovanie-cherez-cfa?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-08-26 18:13:00,Банковское обозрение,dzen,,"Выпуск ЦФА стал вторым по счету для девелопера ФСК, первое размещение состоялось в марте 2024 года и было выкуплен до завершения периода размещения с переподпиской.

Номинальная стоимость одного токена нового выпуска ЦФА составит 1 тыс. рублей, срок обращения — шесть месяцев, период размещения с 22 по 29 августа 2024 года. Общий объем выпуска также составил 1 млрд рублей.

Развитие рынка ЦФА на недвижимость в России открывает новые возможности для застройщиков и инвесторов. В последние годы, несмотря на ограничения законодательства, застройщики начали выпускать ЦФА не только на денежное требование, но и на квадратные метры, арендный доход и индексы, привязанные к стоимости квадратного метра. О состоянии и перспективах финансирования недвижимости и строительной отрасли с использованием ЦФА расскажут эксперты рынка на конференции «ЦФА В СТРОИТЕЛЬСТВЕ И НЕДВИЖИМОСТИ: Новые возможности для девелоперов и инвесторов» 30 октября 2024 года."
8,ЦФА впервые оценили по ESG-стандартам,https://bosfera.ru/press-release/cfa-vpervye-ocenili-po-esg-standartam?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-07-16 14:50:00,Банковское обозрение,dzen,,"ЦФА от компании «ЛЕГЕНДА» планируются к выпуску 16 июля 2024 года на платформе «А-Токен». Объем выпуска — до 1 млрд рублей. Следуя методологии верификации ЦФА на соответствие принципам устойчивого развития, агентство «Эксперт РА» подтвердило, что выпуск соответствует принципам и стандартам устойчивого развития Международной ассоциации рынков капитала (ICMA).

В рамках выпуска денежные средства будут использованы на частичное рефинансирование ранее понесенных затрат на строительство энергоэффективных жилых многоквартирных домов с классом энергоэффективности не ниже А («очень высокий»), а также на рефинансирование затрат на осуществление работ по устройству мультисервисной сети связи. Эмитентом отобрано шесть объектов в Санкт-Петербурге и Москве суммарной общей площадью 302,6 тыс. м2, находящихся на стадии реализации на дату размещения ЦФА. Целями проекта компании являются эффективное потребление ресурсов, повышение энергоэффективности, сокращение выбросов парниковых газов, охрана окружающей среды, цифровизация жилой инфраструктуры, повышение надежности и качества недвижимости. Фактический экологический эффект эмитент рассчитает спустя 12 месяцев после ввода объектов в эксплуатацию или по истечении 12 месяцев после выпуска ЦФА.

В марте 2024 года на «Атомайз» были выпущены ЦФА, средства от размещения которых будут использоваться для минимизации ущерба для окружающей среды. Эмитентом выступила компания «Сибстекло». В ее бизнес-модель интегрирован принцип рационального природопользования, который обеспечивает устойчивый экономический рост при снижении промышленной нагрузки на окружающую среду."
9,НОВИКОМ рассказал об опыте сделок в сфере ЦФА на «Армии-2024»,https://www.akm.ru/press/novikom_rasskazal_ob_opyte_sdelok_v_sfere_tsfa_na_armii_2024/?utm_source=yxnews&utm_medium=desktop&utm_referrer=https%3A%2F%2Fdzen.ru%2Fnews%2Fsearch%3Ftext%3D,2024-08-16 17:36:00,АК&М,dzen,,"Дочерний банк Ростеха в ходе Международного военно-технического форума «Армия-2024» провел круглый стол «Новые финансовые решения для оборонной промышленности». Участники мероприятия — представители банковского, фондового рынков, рейтинговых агентств и аудиторских компаний, промышленных предприятий — обсудили перспективы высокотехнологичных финансовых инструментов, которые ускорят рост инвестиций в модернизацию ОПК.

В ходе мероприятия выступающие представили анализ новых инструментов привлечения инвестиций в промышленность. Были затронуты перспективы использования цифрового рубля, рынка капитала и цифровых финансовых активов (ЦФА) — инновационного финансового продукта, который становится все более востребованным у бизнеса, в том числе промышленного.

По мнению экспертов дочернего банка Ростеха, у технологии токенизации большой потенциал. В своем выступлении представитель НОВИКОМа подробно остановился на возможностях финансирования оборонных предприятий с помощью ЦФА, этапах процедуры их выпуска при участии банка и преимуществах инновационного инструмента. Среди очевидных плюсов — прозрачность расчетов, низкие операционные издержки, высокая скорость размещения, доступность для широкого круга эмитентов и инвесторов, включая сегмент МСП.

Также участники обсудили вопросы налогообложения операций с ЦФА, некоторые из которых требуют доработки.

Несмотря на относительную новизну законодательства о цифровых финансовых активах, в России много примеров использования инструмента, в том числе при участии НОВИКОМа. Банк первым организовал сделку по выпуску ЦФА для компании сектора ОПК — Уральского оптико-механического завода имени Э.С. Яламова (АО «ПО «УОМЗ»).

Заместитель генерального директора по экономике и финансам АО «ПО «УОМЗ» Андрей Ваулин поделился опытом тестирования ЦФА в целях получения предприятием необходимого финансирования. Он подчеркнул, что организация заимствований на рынке через ЦФА может стать одним из перспективных направлений взаимодействия с инвесторами.

Об инфраструктуре выпусков российских ЦФА рассказали представители ЕВРОФИНАНС МОСНАРБАНК – оператора информационных систем (ОИС) в контуре «РТ-Финанс». В партнерстве с банком НОВИКОМ успешно провел сделки в формате токенов в прошлом году.

Дискуссия показала, что эксперты оптимистично смотрят на будущее инноваций, связанных с цифровизацией финансовых платежей. Участники круглого стола предложили инициативы, которые помогут доработать механизм регулирования ЦФА."
